"request_id","released_by","release_date","nedb_id"
"vMgTM0uMWOvL9NvR","yn8TADS2Q9Z3yCsq","2025-10-07","6cGhl8jm8PjQDBfG"
"X6ghHJEeARVFlUcx","yn8TADS2Q9Z3yCsq","15/07/2024","7awEfT6C2w5k04v8"
"R3NSRH4KtSowNMwx","yn8TADS2Q9Z3yCsq","2025-10-07","K9FrIF4PIdRfrDUt"
"71T5T1DVS10pFbxW","yn8TADS2Q9Z3yCsq","2025-10-07","MSS2rFA8OtwJLfvc"
"Y0OjT68PIRdNNM7t","yn8TADS2Q9Z3yCsq","18/07/2024","PhNVio1Bhh24antC"
"ha8bR3uF4RzEulZt","yn8TADS2Q9Z3yCsq","2025-10-07","S04ExpTnWmWfdbKi"
"ij6d6ZqzJv6bajqI","yn8TADS2Q9Z3yCsq","2025-10-07","ZWFqWNzn4DolXCoz"
"vWuGmrpIRrkyS9kV","yn8TADS2Q9Z3yCsq","16/07/2024","fvSZK6q2bgFremx3"
"UK4ZxsXlGdCxYBLS","yn8TADS2Q9Z3yCsq","2025-10-07","lH6D3OdW76sh8XeC"
