"tool_id","category_id","name","location","available_qty","unit","price","img","tool_status","disposal_status","_id"
"111",4,"Knife Serrated Knife (Small)","CBA 404",4,"Piece",100,"/uploads/tools/default.png","Available","For Disposal","aYB4ex4zOtIGsjA0"
"112",2,"Knife Stainless Steel Kitchen Knife Set 5 pieces","CBA 404",7,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","lJrQSpilt0LL0rsV"
"113",6,"Knife Steak Knife","CBA 404",12,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","5Efos7UI8E9TN73G"
"114",3,"Ladle Turner Long Stainless","CBA 404",10,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","PJ3n6TLWg9vq9VFW"
"115",5,"Ladle Turner Slotted Black Turner","CBA 404",25,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","26GpItPbCL4VybE3"
"116",2,"Ladle Turner Slotted Green Turner","CBA 404",6,"Piece",100,"/uploads/tools/default.png","Available","For Repair","1TgCnUt7wsX0NuGk"
"117",1,"Ladle Turner Slotted White Turner (plastic)","CBA 404",14,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","gAj8Kma4PDzhnw47"
"118",4,"Ladle Turner Wooden Spoon","CBA 404",6,"Piece",100,"/uploads/tools/default.png","Available","For Repair","FjzvQQOHBziJODTK"
"119",1,"Lemon Squeezer Stainless Steel","CBA 404",18,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","pXHESdabc8W1FtrY"
"12",2,"Bar Spoon Ice Pick","CBA 404",7,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","3VH4gKiX7N8yZoBt"
"120",8,"Liquid Bottle Glass","CBA 404",5,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","2V0aFnPOcTW0YD8n"
"121",1,"Measuring Cups Plastic for Dry","CBA 404",10,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","4VooGlXM9xjF18DW"
"122",2,"Measuring Glass Tumbler Glass Black","CBA 404",6,"Piece",100,"/uploads/tools/default.png","Available","For Repair","ARkuc7J9ojeCwj25"
"123",8,"Measuring Glass with Black Design","CBA 404",40,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","uL203GJZjNkmByh9"
"124",7,"Mixer Hand Mixer Heavy Duty 3D (brand)","CBA 404",20,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","nrcAtVZeQNF8u3xV"
"125",2,"Mixer Heavy Duty Kitchen Aide Stand Mixer","CBA 404",7,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","byUGnjjdcutYnYUy"
"126",5,"Mixer Stand Mixer with Stainless Bowl (Heavy Duty, Dowell Black)","CBA 404",3,"Pieces",100,"/uploads/tools/default.png","Available","Good Condition","wUNGPamJUD7UyA2n"
"127",8,"Mop Bucket Yellow Color with Water Placement","CBA 405",11,"Unit",100,"/uploads/tools/image-1759080651737-189549490.png","Available","For Disposal","cfYsk1XYB0nBLlMG"
"128",5,"Mortar and Pestle","CBA 405",1,"Set",100,"/uploads/tools/default.png","Available","Good Condition","DlKbb3nEeTbFVX2y"
"129",1,"Muddler Wooden Muddler","CBA 404",10,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","XFA4WUJH07rukLQB"
"13",5,"Bar Mat","CBA 404",3,"Pieces",100,"/uploads/tools/default.png","Available","Good Condition","1GNLpgNI5iZ0aTkr"
"130",1,"Muffin Pan By 6","CBA 404",10,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","NxquxMiQt538hX77"
"131",9,"Muffin Pan By 12","CBA 404",2,"Piece",100,"/uploads/tools/default.png","Available","For Repair","1Y4HX1mwKnPqqIJj"
"132",5,"Muffin Pan By 24","CBA 404",10,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","zLdu2l7fWYI4AHrj"
"133",2,"Muffin Pan Heart Baking Pan","CBA 404",213,"Pieces",100,"/uploads/tools/default.png","Available","Good Condition","IUQrEie7I4Csywcr"
"134",5,"Muffin Pan Leche Flan Molder","CBA 404",15,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","kqm3T3XwaX7XNk7h"
"135",1,"Muffin Pan Pie Pan","CBA 404",18,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","fUSMfmlBiNhQeTgt"
"136",4,"Muffin Pan Pizza Pan","CBA 404",12,"Pieces",100,"/uploads/tools/image-1759083497845-941302255.png","Available","Good Condition","aI7Xsmn6qBgVNsjQ"
"137",9,"Non-contact Infrared Thermometer Food Heat Thermometer","CBA 404",30,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","97cZGhZqWkGs1opd"
"138",5,"Oven Thermometer Stainless","CBA 404",25,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","Qz1nnLwaIyKwsH3o"
"139",3,"Pan Barbeque Grill Pan (Steel, Black Color)","CBA 404",12,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","wjgJiyqaMoroHrGu"
"14",5,"Bar Spoon with Fondue Fork","CBA 405",1,"Set",100,"/uploads/tools/default.png","Available","Good Condition","uDXq8guE92IzM389"
"140",1,"Pan Non-stick Frying Pan","CBA 404",1,"Unit",100,"/uploads/tools/image-1759085618242-638779910.png","Available","Good Condition","oqCNzsJDqSABX7wK"
"141",4,"Pan Omelete Pan","CBA 404",10,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","DqM7C3mZrmA5CPHo"
"142",1,"Pan Sauce Pan Double Boiler","CBA 404",14,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","4KySC97KuCzXvOMe"
"143",5,"Pasta Maker Stainless","CBA 404",25,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","k5JjT14LUkDnIMYy"
"144",1,"Pasta Server Silver Stainless","CBA 404",10,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","FCdMMZMsuHterHov"
"145",3,"Patry Brush Assorted Designs and Colors","CBA 404",9,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","guENhkixfYM7FDQ4"
"146",5,"Peeler Assorted Color and Sizes","CBA 405",1,"Set",100,"/uploads/tools/default.png","Available","Good Condition","m5gQc4wJRj9GaGvh"
"147",1,"Pitcher Stainless 1L (555 Brand)","CBA 404",15,"Set",100,"/uploads/tools/default.png","Available","Good Condition","o9wLO93zxWdnOEoS"
"148",3,"Plates Big Square Plate","CBA 404",9,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","3HPSiJemzVbL5EGy"
"149",4,"Plates Bread Plate","CBA 404",7,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","9kTf4Dna3dCqmeZx"
"15",8,"Bar Tray Oval Tray","CBA 404",5,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","6pOpm2GfYbMV8lSl"
"150",6,"Plates Dessert Plate","CBA 404",8,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","uWIhhXcywA6theUj"
"151",1,"Plates Dinner Plate Assorted Sizes","CBA 404",18,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","N3XPKjZU5msgzM59"
"152",9,"Plates Lasagna Plate","CBA 404",5,"Piece",100,"/uploads/tools/default.png","Available","For Repair","WzBbfqNfLr9p3sNB"
"153",6,"Plates Salad Plate","CBA 404",10,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","MSifObBUIW5wwB5l"
"154",9,"Plates Show Plate","CBA 404",2,"Piece",100,"/uploads/tools/default.png","Available","For Repair","f84nIFaAjD3MxK7q"
"155",4,"Plates Small Square Plate","CBA 404",4,"Piece",100,"/uploads/tools/default.png","Available","For Disposal","HA3Ti2sENPIDubTb"
"156",2,"Plates Small Square Plate","CBA 404",7,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","g0AQH6dmmSDmP5KF"
"157",2,"Plates Sushi Plate","CBA 404",7,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","izv56fP4gLHaaaap"
"158",5,"Pot Stainless Pot","CBA 404",20,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","46w2vO6lERlco1ov"
"159",7,"Pourer Assorted Colors","CBA 404",50,"Set",100,"/uploads/tools/default.png","Available","Good Condition","vQRvPvk52ad9ROkC"
"16",8,"Bar Tray Round","CBA 404",30,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","g8Jbl1NO4mMhgn2F"
"160",6,"Pressure Cooker Stainless with Black Handle","CBA 404",8,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","abwz0hJGyhcXxcpL"
"161",8,"Ramekin Plain White","CBA 404",5,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","z60Mh0ttWqDRbeWs"
"162",8,"Rice Cooker 10 Cups Capacity","CBA 404",30,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","So03WfJkykQECndb"
"163",6,"Rice Cooker Heavy Duty","CBA 404",30,"Set",100,"/uploads/tools/default.png","Available","Good Condition","Av9yKsLvYcWHcUcu"
"164",2,"Rolling Pins Acrylic Style","CBA 404",213,"Pieces",100,"/uploads/tools/default.png","Available","Good Condition","hLSLr8SwpHXAnqKK"
"165",7,"Rolling Pins Wood Style","CBA 404",40,"Set",100,"/uploads/tools/default.png","Available","Good Condition","Yxe810k7d2OAXvA9"
"166",5,"Rubber Scraper Assorted Handles and Sizes","CBA 404",22,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","mlo0VpCBNNEYY5cw"
"167",3,"Sharpening Honing Steel with Black Handle","CBA 404",20,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","Y5d16mPNlWQU4Yfx"
"168",2,"Sharpening Stone Gray Color","CBA 404",8,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","9GK6fFd80rsq3PnO"
"169",7,"Sifter Stainless without Handles (assorted sizes)","CBA 404",25,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","hBdrCOnhj3N5Cfhq"
"17",4,"Beaker Measuring Glass for Liquid","CBA 404",6,"Piece",100,"/uploads/tools/default.png","Available","For Repair","4UfmxpknwFxhJBFM"
"170",1,"Sifter with Black Handle","CBA 404",1,"Unit",100,"/uploads/tools/image-1759085618242-638779910.png","Available","Good Condition","JORtIMvd9uBC64op"
"171",9,"Silk Chair Cover White","CBA 404",5,"Piece",100,"/uploads/tools/default.png","Available","For Repair","eunY6JKeMQAlHq0u"
"172",2,"Sizzling Plate Metal Wood Plate","CBA 404",6,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","q02IX1RAxehKVKFg"
"173",6,"Skirting Cloth (Pongee) Black","CBA 404",10,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","kXf3brAcb87yrmr0"
"174",4,"Skirting Cloth (Pongee) Blue","CBA 404",7,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","uqWAcIkfaIO8Jfpl"
"175",4,"Skirting Cloth (Pongee) Blue Violet","CBA 404",10,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","KXSKevXJu6IOVbkz"
"176",5,"Skirting Cloth (Pongee) Brown","CBA 404",3,"Pieces",100,"/uploads/tools/default.png","Available","Good Condition","krUzSYm7BUdzBzjn"
"177",5,"Skirting Cloth (Pongee) Dark Pink","CBA 404",18,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","t26q9d5xuhMkxmQH"
"178",4,"Skirting Cloth (Pongee) Green","CBA 404",12,"Pieces",100,"/uploads/tools/image-1759083497845-941302255.png","Available","Good Condition","2IZVeRvlxSKf9fCH"
"179",8,"Skirting Cloth (Pongee) Light Pink","CBA 404",1,"Unit",100,"/uploads/tools/image-1759085468990-69770277.jpg","Available","Good Condition","Bo1gp3JCJrfX9F4c"
"18",1,"Beer Mug","CBA 404",10,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","xDSqe4gZ9yZ40COn"
"180",7,"Skirting Cloth (Pongee) Maroon","CBA 404",20,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","uU8qFN8qZ4yDqShF"
"181",1,"Skirting Cloth (Silk) Mint Light Green","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","r2p4MJC6aQRAxtj8"
"182",1,"Skirting Cloth (Silk) Orange","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","4LFB5JEM2NUfvY9V"
"183",1,"Skirting Cloth (Silk) Pink","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","QkDUe2djf7qf0BdK"
"184",1,"Skirting Cloth (Silk) Red","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","aLX2mYKAuDl7ziF2"
"185",1,"Skirting Cloth (Silk) Sky Blue Silver","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","spgKSBH0EkjOYZiZ"
"186",1,"Slicer Mandolin Slicer","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","znkVc0125WGh1TSj"
"187",1,"Smart TV 50 Inches","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","hHuhHJ05qEfGdh7w"
"188",1,"Soup Bown Red Black Color","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","MlL6tmQxybYIIzgY"
"189",1,"Soup Bowl Sky Blue Color with Handle","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","rCzhb8z7opSyoTio"
"19",8,"Biscuit Molder Stainless","CBA 404",40,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","XrKAGkIxzrveDYHu"
"190",1,"Soup Bowl White Color (Medium size)","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","vy1C6XqRA3c8CccI"
"191",1,"Soup Bowl White Color (Small)","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","cFYP2M3lF7T2tVDP"
"192",1,"Soup Bowl White Color with Handle","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","nKW6vZE0UQzXbEpf"
"193",1,"Soup Server Stainless Silver Assorted Sizes","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","zhsTVNZJs7tzh6Xb"
"194",1,"Soy Dish Plain White","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","IUNJJELLqeHZhiH1"
"195",1,"Spatula Metal","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","pZusv0ZkDHzFkeX4"
"196",1,"Spatula Off-set Spatula 3 Inch Length","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","D8XNGa7SHlLQ3HgJ"
"197",1,"Spoon Dessert Spoon","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","fDolDaYtkff86qq7"
"198",1,"Spoon Dinner Spoon","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","Q8N1n8SFBmg1v72J"
"199",1,"Spoon Halo-halo Spoon Long Spoon","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","qKd0D2ptdE4TWnMj"
"2",1,"Assorted Small Knife","CBA 404",16,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","CUEc9CQKP3S6byW2"
"20",5,"Blender Smoothie Blender","CBA 404",3,"Pieces",100,"/uploads/tools/default.png","Available","Good Condition","LfZ8borZfLaJQUO8"
"200",1,"Spoon Serving Spoon","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","35JJxUZWPO0Z91nT"
"201",1,"Spoon Soup Spoon","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","pHfoEayvTYoSA6cu"
"202",1,"Spring Pan Spring Form Pan (Round)","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","jktr8bvyEelU54pW"
"203",1,"Stock Pot Stainless (2L)","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","B9mfdUwh4kvBWOb1"
"204",1,"Stock Pot Stainless Assorted Sizes","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","kMew54lBs3GjGVdx"
"205",1,"Storage Box White Plastic Assorted Cover Colors","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","A1rC3FdkKpSEqSzn"
"206",1,"Stove Burner Doubel Burner","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","PSXrttGJO66Y5zYx"
"207",1,"Table Buffet Table Rectangular Plastic and Folded Stand","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","B5r1ARGToxpRSR8Z"
"208",1,"Table Cloth (Pongee) Red","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","a23HuikaIMIhWG8O"
"209",1,"Table Cloth (Pongee) White","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","6tNGWnMQKzHthq81"
"21",8,"Bowl Plastic Mixing Bowl","CBA 404",40,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","jsC0X2Z9J2MKM8VL"
"210",1,"Table Cloth (Silk) Apple Green","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","Ag6uiwA1q1UL6ssT"
"211",1,"Table Cloth (Silk) Maroon","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","0uyrztacaV4GoCgd"
"212",1,"Table Cloth (Silk) Mint Green","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","8Zds7w8Ev5wcfDxe"
"213",1,"Table Cloth (Silk) Orange","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","sftBXdOwi9zj1c1z"
"214",1,"Table Cloth (Silk) Pink","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","BGgygBDK8jl3aGhZ"
"215",1,"Table Cloth (Silk) Red","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","gObrfLNtDrSPLIyC"
"216",1,"Table Cloth (Silk) White","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","TPhJSTLMhTJH6PN7"
"217",1,"Table Cloth (Silk) Yellow","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","zBApvF8TAzMT667v"
"218",1,"Table High Cocktail Table","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","Hbpa6cn4kJU3asm3"
"219",1,"Table Napkins Black","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","3lXjm2CnCHGKFkvt"
"22",5,"Bowl Stainless Mixing Bowl","CBA 404",10,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","hG7PwXo1D8T1BqQ8"
"220",1,"Table Napkins Blue Green","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","zUKSQpA1HGNwA9XE"
"221",1,"Table Napkins Dark Blue","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","pfXmx1AFeHKQAv4k"
"222",1,"Table Napkins Dark Pink","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","i6WHB2R5F76huTsN"
"223",1,"Table Napkins Green","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","okOSTPq9s3q2IzBS"
"224",1,"Table Napkins Light Pink","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","WfoAoXQP4uNOHtZ2"
"225",1,"Table Napkins Maroon","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","nhUKGZdRjQEhNpfQ"
"226",1,"Table Napkins Red","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","CRC5BopFJ1pUuBPE"
"227",1,"Table Napkins Turquoise","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","phHUOnNp9U4LcjD1"
"228",1,"Table Napkins Yellow","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","cBw0UIT2gTqePOpq"
"229",1,"Table Square White Good for 4 Persons","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","6VkkuRYieNnuc1QX"
"23",8,"Cake Server","CBA 404",10,"Unit",100,"/uploads/tools/default.png","Available","Good Condition","ELoWicVEQCcDZFSZ"
"230",1,"Tong Food Tong Stainless","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","7HLN4alWMmor8eG5"
"231",1,"Top Cloth (Silk) Red","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","Rg31e9LpZdv6LLA6"
"232",1,"Top Cloth (Silk) White","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","u8Q032VEiKkscuK2"
"233",1,"Tray Silver Stainless","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","BaL4PpbPzuO6Cm6Z"
"234",1,"Turbo Glass","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","mg2SVajxmbnBYn8i"
"235",1,"Utility Rack Steel 2 Layers","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","IJR5gOXOdVCzhUzm"
"236",1,"Utility Tray Plastic Gray","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","tSnY6g2vseRsVbsb"
"237",1,"Water Dispenser Hot and Cold (Dowell)","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","64fVxCwlUqusMAXn"
"238",1,"Weighing Scaled Digital D.C","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","z6N43AcyqyxOILvS"
"239",1,"Weighing Scale Kitchen Scale","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","vN01asBAMY9vhXyt"
"24",7,"1 Layer Glass Cake Stand","CBA 404",20,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","r2hg0a7ptXFmG8Aa"
"240",1,"Whire Whisk Stainless","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","wWefPaj9zeIE5FKi"
"241",1,"Wine Rack Stainless","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","WkI6wMt9wJFWVpsG"
"242",1,"Wine Rack Wine Bucket","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","3ozhlbRwlGlleEmh"
"243",1,"Wok Wok 3L","CBA 404",1,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","WwGYInHsA9epx5t6"
"25",9,"2 Layer Glass Cake Stand","CBA 404",3,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","Kbxomr2aYsmApo0j"
"26",5,"3 Layer Glass Footed Platter","CBA 404",22,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","Q45UtHO3TLAwQX8c"
"27",7,"3 Layer Silver Cake Stand","CBA 404",35,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","8wcYymmkw3NV4wks"
"28",9,"3 Layer Floating Cake Stand","CBA 404",3,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","IDJStokeysFMVo8J"
"29",6,"3 Layer Pillar Cake Stand","CBA 404",15,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","XzWmML64STUTSybP"
"3",2,"Baking Compressor Black Color Set","CBA 404",8,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","CyP1jL3qGYGung7q"
"30",1,"Cake Stand Stackable Cake Plates","CBA 404",15,"Set",100,"/uploads/tools/default.png","Available","Good Condition","BrnHabQT0toU8hMr"
"31",6,"Cake Turner Metal","CBA 404",12,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","h3wejFWYCHfSKYHv"
"32",4,"Cake Turntable Plastic","CBA 404",12,"Pieces",100,"/uploads/tools/image-1759083497845-941302255.png","Available","Good Condition","9YtL2S58QkMlW0PF"
"33",7,"Ceramic Bowl Ceramic Soup Bowl with Handle and Cover","CBA 404",25,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","8tESO1sHR8Hp8355"
"34",9,"Champagne Flute","CBA 404",30,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","TyXAJDlVUqJfyfMj"
"35",9,"Chef’s Thermometer Stainless","CBA 404",5,"Piece",100,"/uploads/tools/default.png","Available","For Repair","q9Vpb6yAzlpuIMeY"
"36",8,"Chopping Boards White (assorted size)","My Heart",1,"Unit",100,"/uploads/tools/image-1759085468990-69770277.jpg","Available","Good Condition","eZf4R7jMsiotjYrZ"
"37",3,"Chopping Boards Wood","CBA 404",5,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","VPaOH96BN2qjVAvE"
"38",2,"Cocktail Strainer Bar Strainer Stainless","CBA 404",8,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","RJP4aiqaCIi4LY73"
"39",6,"Colander Strainer Stainless with 2 Handles","CBA 404",8,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","0lP4GLozlWqeojVs"
"4",1,"Baking Cool Tray Metal Tray","CBA 404",16,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","7hRkomnKIPJmyPhV"
"40",8,"Container Bar Caddy","CBA 404",10,"Unit",100,"/uploads/tools/default.png","Available","Good Condition","H6b3LRGSfqHsMBef"
"41",4,"Cookie Pans Sheets (assorted)","CBA 404",4,"Piece",100,"/uploads/tools/default.png","Available","For Disposal","ojit0iMww1kij5nJ"
"42",2,"Cork Screw Waiters Cork Screw Black Color","CBA 404",6,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","ezwK2T3Q4pqu92o2"
"43",3,"Cover Food Cover 2","CBA 404",8,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","RpShyWjKly07Wb7u"
"44",8,"Cups Assorted Size","CBA 405",11,"Unit",100,"/uploads/tools/image-1759080651737-189549490.png","Available","For Disposal","1JbIFkJhAzqKz7qp"
"45",6,"Cups with Saucer White Gold Design","CBA 404",15,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","XGRzlVwQqGcrA1ut"
