"tool_id","category_id","name","location","available_qty","unit","price","img","tool_status","disposal_status","_id"
"1",8,"Airbrush Kit","CBA 404",1,"Unit",100,"/uploads/tools/image-1759085468990-69770277.jpg","Available","Good Condition","XLwRTWp647sT7zpM"
"10",3,"Bar Tray Serving Tray Ceramic","CBA 404",12,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","e1AoMP5InpYTgmn8"
"100",2,"Juice Dispenser Tower","CBA 404",6,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","a8A205QMGexeI8OT"
"101",4,"Juice Electric Presser","CBA 404",5,"Piece",100,"/uploads/tools/default.png","Available","For Repair","GXiEDjd7ZabXn8Ax"
"102",5,"Juice with Pourer","CBA 405",1,"Set",100,"/uploads/tools/default.png","Available","Good Condition","O4dVAQdTGEA0QRuv"
"103",8,"Kitchen Knife Bar","CBA 404",10,"Unit",100,"/uploads/tools/default.png","Available","Good Condition","s9hj5IIMdtRX5m1a"
"104",6,"Kitchen Tools & Gadgets Stainless","CBA 404",30,"Set",100,"/uploads/tools/default.png","Unavailable","Good Condition","8SEPY6zoUkKHk8dk"
"105",7,"Knife Bread Knife","CBA 404",50,"Set",100,"/uploads/tools/default.png","Available","Good Condition","Y0rfRKl7kM3HCqZ5"
"106",9,"Knife Chef Knife","CBA 404",30,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","d36f2AIk6GIVma7X"
"107",3,"Knife Dinner Knife","CBA 404",9,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","bthUJL2RdW2eR8uU"
"108",7,"Knife Oyster Knife","CBA 404",20,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","0rxG127ACUyMfUMY"
"109",5,"Knife Salad Knife","CBA 404",15,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","NZBKXjfM2PimUGS9"
"11",6,"Bar Knife","CBA 404",15,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","t54oWWzmnMH9qhGZ"
"110",1,"Knife Serrated Knife (Big)","CBA 404",14,"Piece",100,"/uploads/tools/default.png","Available","Good Condition","0SvgZyMW2ChAYJno"
